,route-collected,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Delhi to Shimla,HRTC - 93,Himsuta AC Seater Volvo/Scania 2+2,19:35,04:45,09h 10m,INR 892,3 Seats available,3.5
1,Delhi to Shimla,HRTC - 301,Ordinary 3+2 Non AC Seater,19:43,05:30,09h 47m,INR 507,27 Seats available,4.1
2,Delhi to Shimla,HRTC - 556,Ordinary 3+2 Non AC Seater,20:10,05:45,09h 35m,INR 507,22 Seats available,4.5
3,Delhi to Shimla,HRTC - 8,Himsuta AC Seater Volvo/Scania 2+2,21:02,06:30,09h 28m,INR 892,21 Seats available,4.2
4,Delhi to Shimla,HRTC - 570,Ordinary 3+2 Non AC Seater,21:25,06:45,09h 20m,INR 507,35 Seats available,3.6
5,Delhi to Shimla,HRTC - 20,Himsuta AC Seater Volvo/Scania 2+2,21:36,05:30,07h 54m,INR 867,24 Seats available,3.8
6,Delhi to Shimla,HRTC - 518,Ordinary 3+2 Non AC Seater,21:58,07:15,09h 17m,INR 507,25 Seats available,3.3
7,Delhi to Shimla,HRTC - 9,Himsuta AC Seater Volvo/Scania 2+2,22:00,07:30,09h 30m,INR 892,14 Seats available,4.6
8,Delhi to Shimla,HRTC - 579,Ordinary 3+2 Non AC Seater,22:30,08:15,09h 45m,INR 507,27 Seats available,4.1
9,Delhi to Shimla,HRTC - 36,Himsuta AC Seater Volvo/Scania 2+2,22:30,06:30,08h 00m,INR 867,18 Seats available,4.1
10,Delhi to Shimla,HRTC - 22,Himsuta AC Seater Volvo/Scania 2+2,23:00,07:50,08h 50m,INR 892,13 Seats available,4.5
11,Delhi to Shimla,HRTC - 564,Ordinary 3+2 Non AC Seater,23:40,09:30,09h 50m,INR 507,36 Seats available,4.6
12,Delhi to Shimla,Bedi Travels,Volvo A/C Semi Sleeper (2+2 ),22:30,08:00,09h 30m,495,14 Seats available,4.7
13,Delhi to Shimla,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),23:30,08:00,08h 30m,474,29 Seats available,4.4
14,Delhi to Shimla,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),23:25,07:45,08h 20m,523,20 Seats available,4.4
15,Delhi to Shimla,Zingbus Plus,Volvo A/C Semi Sleeper (2+2),22:05,07:25,09h 20m,513,17 Seats available,4.4
16,Delhi to Shimla,Laxmi holidays,Bharat Benz A/C Semi Sleeper (2+2),22:50,07:40,08h 50m,523,30 Seats available,4.0
17,Delhi to Shimla,Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),21:50,07:40,09h 50m,495,10 Seats available,4.1
18,Delhi to Shimla,City Land Travels,Volvo A/C Semi Sleeper (2+2),23:00,07:00,08h 00m,522,16 Seats available,3.1
19,Delhi to Shimla,RAO TRAVELS INDIA PVT LTD.,AC Seater (2+2),21:30,07:30,10h 00m,INR 1500,30 Seats available,2.0
20,Delhi to Shimla,FlixBus,A/C Seater (2+2),23:55,08:35,08h 40m,INR 638,18 Seats available,2.9
21,Delhi to Shimla,Heera Himachal Holidays,Volvo A/C Semi Sleeper (2+2),21:30,06:30,09h 00m,INR 988,22 Seats available,1.7
22,Shimla to Delhi,HRTC - 188,Ordinary 3+2 Non AC Seater,19:25,04:57,09h 32m,INR 507,27 Seats available,4.2
23,Shimla to Delhi,HRTC - 74,Himsuta AC Seater Volvo/Scania 2+2,20:00,05:00,09h 00m,INR 892,15 Seats available,4.5
24,Shimla to Delhi,HRTC - 3,Himsuta AC Seater Volvo/Scania 2+2,21:00,06:00,09h 00m,INR 892,16 Seats available,4.6
25,Shimla to Delhi,HRTC - 108,A/C Executive (2+3),21:20,06:52,09h 32m,INR 612,44 Seats available,3.3
26,Shimla to Delhi,HRTC - 19,Himsuta AC Seater Volvo/Scania 2+2,21:30,06:00,08h 30m,INR 892,15 Seats available,4.0
27,Shimla to Delhi,HRTC - 1712,Ordinary 3+2 Non AC Seater,21:30,05:45,08h 15m,INR 505,27 Seats available,4.2
28,Shimla to Delhi,HRTC - 130,Ordinary 3+2 Non AC Seater,21:45,06:15,08h 30m,INR 507,29 Seats available,4.5
29,Shimla to Delhi,HRTC - 179,Ordinary 3+2 Non AC Seater,22:00,06:30,08h 30m,INR 507,27 Seats available,3.4
30,Shimla to Delhi,HRTC - 136,Ordinary 3+2 Non AC Seater,22:30,06:30,08h 00m,INR 507,26 Seats available,2.3
31,Shimla to Delhi,Bedi Travels,Volvo A/C Semi Sleeper (2+2 ),21:30,05:30,08h 00m,450,16 Seats available,4.7
32,Shimla to Delhi,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),20:30,04:30,08h 00m,474,32 Seats available,4.4
33,Shimla to Delhi,Zingbus Plus,Volvo A/C Semi Sleeper (2+2),20:30,04:35,08h 05m,458,27 Seats available,4.4
34,Shimla to Delhi,Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),21:00,05:40,08h 40m,495,37 Seats available,4.3
35,Shimla to Delhi,Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),22:00,05:30,07h 30m,540,38 Seats available,4.2
36,Shimla to Delhi,FlixBus,A/C Seater (2+2),20:00,05:00,09h 00m,INR 678,27 Seats available,4.5
37,Shimla to Delhi,RAO TRAVELS INDIA PVT LTD.,AC Seater (2+2),21:00,06:00,09h 00m,INR 1666,40 Seats available,4.1
38,Shimla to Delhi,Yolo Bus,Volvo A/C Semi Sleeper (2+2),22:00,05:42,07h 42m,INR 1914,49 Seats available,2.0
39,Manali to Chandigarh,HRTC - 759,Himsuta AC Seater Volvo/Scania 2+2,20:00,04:10,08h 10m,INR 938,34 Seats available,3.9
40,Manali to Chandigarh,HRTC - 803,Ordinary 3+2 Non AC Seater,20:30,06:00,09h 30m,INR 549,37 Seats available,3.0
41,Manali to Chandigarh,HRTC - 732,Himsuta AC Seater Volvo/Scania 2+2,21:00,04:20,07h 20m,INR 920,34 Seats available,3.1
42,Manali to Chandigarh,HRTC - 701,Ordinary 3+2 Non AC Seater,21:30,05:30,08h 00m,INR 560,15 Seats available,3.9
43,Manali to Chandigarh,HRTC - 713,Himsuta AC Seater Volvo/Scania 2+2,22:00,06:00,08h 00m,INR 920,29 Seats available,3.4
44,Manali to Chandigarh,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),22:00,03:30,05h 30m,807,3 Seats available,4.5
45,Manali to Chandigarh,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),21:30,03:15,05h 45m,664,7 Seats available,4.3
46,Manali to Chandigarh,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),20:00,02:30,06h 30m,721,7 Seats available,4.6
