,route-collected,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Tezpur to Guwahati,Assam State Transport Corporation (ASTC) - 147480,Bharat Benz A/C Seater (2+2),05:00,09:00,04h 00m,INR 270,1 Seat available,3.4
1,Tezpur to Guwahati,Assam State Transport Corporation (ASTC) - 135927,Volvo AC Seater 2+2,07:10,11:40,04h 30m,INR 298,10 Seats available,4.3
2,Tezpur to Guwahati,Assam State Transport Corporation (ASTC) - 174830,Bharat Benz A/C Seater (2+2),09:30,14:00,04h 30m,INR 298,8 Seats available,4.0
3,Tezpur to Guwahati,Assam State Transport Corporation (ASTC) - 170878,Bharat Benz A/C Seater (2+2),10:35,15:15,04h 40m,INR 298,17 Seats available,4.4
4,Tezpur to Guwahati,Assam State Transport Corporation (ASTC) - 157959,Bharat Benz A/C Seater (2+2),14:00,18:30,04h 30m,INR 298,22 Seats available,4.4
5,Tezpur to Guwahati,Assam State Transport Corporation (ASTC) - 168821,Bharat Benz A/C Seater (2+2),15:45,20:30,04h 45m,INR 298,35 Seats available,2.7
6,Tezpur to Guwahati,Assam State Transport Corporation (ASTC) - 161055,Volvo AC Seater 2+2,16:15,20:30,04h 15m,INR 298,12 Seats available,4.0
7,Tezpur to Guwahati,NEELKANTH TRAVELS,A/C Seater Push Back (2+2),05:15,08:30,03h 15m,INR 300,24 Seats available,4.3
8,Tezpur to Guwahati,Sparrow Travels (Under ASTC),A/C Seater Push Back (2+2),05:20,09:30,04h 10m,INR 330,40 Seats available,3.7
9,Tezpur to Guwahati,MAA Anada (UNDER ASTC),AC Seater (2+2),05:20,08:30,03h 10m,INR 304.2,31 Seats available,4.1
10,Tezpur to Guwahati,Kanchan Travels,AC Seater (2+2),05:30,08:45,03h 15m,332,22 Seats available,4.6
11,Tezpur to Guwahati,WARISPIYA TRAVELS,AC Seater (2+2),05:45,09:00,03h 15m,INR 360,29 Seats available,4.0
12,Tezpur to Guwahati,Mahi Travels(Under ASTC),Bharat Benz A/C Seater (2+2),06:15,09:35,03h 20m,329,13 Seats available,3.9
13,Tezpur to Guwahati,WARISPIYA TRAVELS,Bharat Benz A/C Seater (2+2),06:30,10:25,03h 55m,INR 360,28 Seats available,4.1
14,Tezpur to Guwahati,Orient Transline,A/C Seater (2+1),06:45,10:25,03h 40m,INR 342.86,21 Seats available,3.7
15,Tezpur to Guwahati,Orient Transline,A/C Seater (2+1),07:25,10:55,03h 30m,INR 342.86,15 Seats available,4.4
16,Tezpur to Guwahati,WARISPIYA TRAVELS,AC Seater (2+2),07:45,12:00,04h 15m,INR 360,28 Seats available,4.1
17,Tezpur to Guwahati,Mahi Travels(Under ASTC),A/C Seater (2+2),08:00,11:30,03h 30m,357,23 Seats available,4.6
18,Tezpur to Guwahati,Mahalaxmi Travels,Tata A/C Seater (2+2),09:55,14:00,04h 05m,INR 300,26 Seats available,4.0
19,Tezpur to Guwahati,Pranjit Travels (Under ASTC),NON A/C Seater (2+1),10:10,15:00,04h 50m,INR 450,33 Seats available,3.1
20,Tezpur to Guwahati,Pranjit Travels (Under ASTC),NON A/C Seater (2+1),10:30,15:45,05h 15m,INR 450,30 Seats available,3.3
21,Tezpur to Guwahati,Chartered Bus - ASTC,A/C Seater Push Back (2+2),11:30,16:15,04h 45m,INR 324.47,13 Seats available,4.4
22,Tezpur to Guwahati,Pranjit Travels (Under ASTC),NON A/C Seater (2+1),11:30,16:45,05h 15m,INR 450,24 Seats available,4.2
23,Tezpur to Guwahati,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,13:00,17:00,04h 00m,INR 349.43,26 Seats available,4.7
24,Tezpur to Guwahati,Karisma (Aziba),NON A/C Seater (2+1),13:40,14:10,00h 30m,INR 300,14 Seats available,3.2
25,Tezpur to Guwahati,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,14:30,18:30,04h 00m,INR 432.06,31 Seats available,4.6
26,Tezpur to Guwahati,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,15:30,19:15,03h 45m,INR 378.92,24 Seats available,4.6
27,Tezpur to Guwahati,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),21:30,03:30,06h 00m,INR 400,25 Seats available,3.2
28,Tezpur to Guwahati,Upasana Travels (Under ASTC),AC Seater (2+2),06:10,10:20,04h 10m,INR 330,40 Seats available,1.6
29,Tezpur to Guwahati,Upasana Travels (Under ASTC),Non AC Seater (2+2),06:55,11:00,04h 05m,INR 325,40 Seats available,2.6
30,Tezpur to Guwahati,Kalpana Travels,Non AC Seater (2+2),08:50,12:30,03h 40m,318,35 Seats available,1.9
31,Tezpur to Guwahati,Brindaban Travels,Non AC Seater (2+2),09:15,13:15,04h 00m,INR 300,35 Seats available,2.7
32,Tezpur to Guwahati,PANKAJ TRAVELS,A/C Seater (2+1),13:00,17:00,04h 00m,456,20 Seats available,No rating
33,Tezpur to Guwahati,Maya Travels,Tata A/C Seater (2+2),13:00,17:30,04h 30m,INR 300,39 Seats available,1.6
34,Tezpur to Guwahati,BARBIE TRAVELS,A/C Seater Push Back (2+2),13:10,17:50,04h 40m,INR 350,32 Seats available,No rating
