,route-collected,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Jammu (j and k) to Srinagar,New Pal Travels,NON A/C Seater / Sleeper (2+2),20:15,06:15,10h 00m,679,36 Seats available,1.5
1,Jammu (j and k) to Srinagar,Harikesh Tour N Travels,NON A/C Seater / Sleeper (2+2),20:30,06:00,09h 30m,699,44 Seats available,1.1
2,Jammu (j and k) to Srinagar,Northern Travels,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),22:30,05:30,0-737h 00m,INR 1299,34 Seats available,2.9
3,Jammu (j and k) to Srinagar,North Kashmir Tour and Travels,NON A/C Sleeper (2+2),16:30,02:30,10h 00m,INR 699,39 Seats available,1.0
4,Jammu (j and k) to Srinagar,North Kashmir Tour and Travels,NON A/C Sleeper (2+2),17:15,03:15,10h 00m,INR 699,40 Seats available,1.0
5,Delhi to Srinagar,DIVA BUS,AC Sleeper (2+1),15:00,08:00,17h 00m,INR 4999,36 Seats available,3.4
6,Delhi to Srinagar,Northern Travels,Bharat Benz A/C Sleeper (2+1),16:30,13:00,20h 30m,INR 2999,24 Seats available,1.9
7,Delhi to Srinagar,RAO TRAVELS INDIA PVT LTD.,Mercedes Benz A/C (2+2),16:00,11:30,19h 30m,INR 3000,48 Seats available,2.3
8,Delhi to Srinagar,Northern Travels,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),09:00,05:30,20h 30m,INR 2499,33 Seats available,1.6
9,Srinagar to Jammu (j and k),Northern Travels,Bharat Benz A/C Sleeper (2+1),14:00,23:30,09h 30m,INR 1299,22 Seats available,2.2
10,Srinagar to Jammu (j and k),Northern Travels,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),09:30,19:00,09h 30m,INR 1299,34 Seats available,2.2
11,Jammu (j and k) to Haridwar,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),20:50,09:30,12h 40m,722,26 Seats available,4.3
