,route-collected,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Bangalore to Kozhikode,KSRTC (Kerala) - 1585,Super Deluxe Non AC Seater Air Bus (2+2),20:31,05:36,09h 05m,INR 640,18 Seats available,4.2
1,Bangalore to Kozhikode,KSRTC (Kerala) - 1586,Super Deluxe Non AC Seater Air Bus (2+2),21:31,06:36,09h 05m,INR 640,5 Seats available,3.2
2,Bangalore to Kozhikode,KSRTC (Kerala) - 2133,Swift Deluxe Non AC Air Bus (2+2),22:12,07:36,09h 24m,INR 640,6 Seats available,3.7
3,Bangalore to Kozhikode,KSRTC (Kerala) - 2063,SWIFT-GARUDA A/C SEATER BUS,22:32,07:35,09h 03m,INR 627,1 Seat available,4.2
4,Bangalore to Kozhikode,KSRTC (Kerala) - 574,Super Deluxe Non AC Seater Air Bus (2+2),23:00,09:30,10h 30m,INR 469,7 Seats available,3.7
5,Bangalore to Kozhikode,KSRTC (Kerala) - 583,Super Deluxe Non AC Seater Air Bus (2+2),23:30,09:35,10h 05m,INR 469,3 Seats available,3.9
6,Bangalore to Kozhikode,KSRTC (Kerala) - 56,SWIFT-GARUDA A/C SEATER BUS,23:41,09:05,09h 24m,INR 627,1 Seat available,3.8
7,Bangalore to Kozhikode,KSRTC (Kerala) - 1064,Super Fast Non AC Seater (2+3),23:45,09:50,10h 05m,INR 473,45 Seats available,4.1
8,Bangalore to Kozhikode,MMK Travels,VE A/C Seater / Sleeper (2+1),22:30,07:30,09h 00m,INR 700,1 Seat available,4.4
9,Bangalore to Kozhikode,Silver Line Travels,NON A/C Semi Sleeper (2+2),22:00,06:10,08h 10m,INR 599,12 Seats available,4.5
10,Bangalore to Kozhikode,NS Transports,VE A/C Sleeper (2+1),22:45,07:30,08h 45m,1100,5 Seats available,4.1
11,Bangalore to Kozhikode,AdSURAJ TRAVEL HOUSE,VE A/C Seater / Sleeper (2+1),21:00,07:30,10h 30m,648,22 Seats available,3.7
12,Bangalore to Kozhikode,DLT BUS,A/C Sleeper (2+1),22:30,07:30,09h 00m,INR 999,10 Seats available,4.0
