,route-collected,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Jodhpur to Ajmer,RSRTC - 189473,NON AC Seater / Sleeper 2+1,21:00,01:30,04h 30m,INR 302,34 Seats available,4.2
1,Jodhpur to Ajmer,RSRTC - 193596,Express Non AC Seater 2+3,22:30,02:00,03h 30m,INR 229,42 Seats available,4.2
2,Jodhpur to Ajmer,RSRTC - 192299,Super Luxury Volvo AC Seater Pushback 2+2,23:00,02:45,03h 45m,INR 458,34 Seats available,4.3
3,Jodhpur to Ajmer,RSRTC - 189583,NON AC Seater / Sleeper 2+1,23:59,03:45,03h 46m,INR 302,18 Seats available,5.0
4,Jodhpur to Ajmer,FlixBus,A/C Sleeper (2+1),19:45,23:50,04h 05m,INR 104,18 Seats available,5.0
5,Jodhpur to Ajmer,Chanakya Travels Agency,NON A/C Seater/ Sleeper (2+1),20:30,01:15,04h 45m,INR 500,37 Seats available,3.8
6,Jodhpur to Ajmer,Gorsiya Travels,Bharat Benz A/C Seater /Sleeper (2+1),21:16,02:16,05h 00m,INR 400,29 Seats available,3.5
7,Jodhpur to Ajmer,Jakhar Travels And Cargo,Non A/C Seater / Sleeper (2+1),21:45,03:45,06h 00m,INR 400,25 Seats available,3.6
8,Jodhpur to Ajmer,Deepak Travells,NON AC Seater / Sleeper 2+1,21:50,05:00,07h 10m,INR 500,40 Seats available,3.3
9,Jodhpur to Ajmer,Jakhar Travels And Cargo,Non A/C Seater / Sleeper (2+1),22:15,02:55,04h 40m,INR 400,26 Seats available,3.6
10,Jodhpur to Ajmer,Chouhan Tour and Travel,A/C Seater / Sleeper (2+2),22:26,03:11,04h 45m,INR 650,33 Seats available,3.5
11,Jodhpur to Ajmer,Swagat Travels,A/C Seater / Sleeper (2+1),22:42,02:50,04h 08m,360,46 Seats available,3.4
12,Jodhpur to Ajmer,Shre Ganesh Travels,A/C Seater / Sleeper (2+1),22:45,03:15,04h 30m,INR 500,34 Seats available,3.2
13,Jodhpur to Ajmer,Tiger Travels,A/C Seater / Sleeper (2+1),23:15,03:45,04h 30m,INR 650,14 Seats available,4.1
14,Jodhpur to Ajmer,Bhagwati Travels and Tours,A/C Seater/Sleeper (2+1),23:30,04:00,04h 30m,INR 400,33 Seats available,4.0
15,Jodhpur to Ajmer,Gorsiya Travels,Bharat Benz A/C Seater /Sleeper (2+1),23:40,04:15,04h 35m,INR 550,35 Seats available,3.5
16,Jodhpur to Ajmer,Shri Ganesh Travels,A/C Seater / Sleeper (2+1),23:55,04:30,04h 35m,INR 450,38 Seats available,3.8
17,Jodhpur to Ajmer,Shre Ganesh Travels,Bharat Benz A/C Seater /Sleeper (2+1),23:59,04:15,04h 16m,INR 600,38 Seats available,3.2
18,Jodhpur to Ajmer,Jakhar Travels And Cargo,A/C Seater / Sleeper (2+1),23:59,04:00,04h 01m,INR 450,19 Seats available,3.6
19,Jodhpur to Ajmer,CHANDRA RAJ TRAVELS,A/C Seater / Sleeper (2+1),19:45,01:30,05h 45m,INR 409.52,41 Seats available,1.0
